timestamp_utc,agent_name,mean_score,std_score,runs,max_steps,scaling_factor,arena_size,wall_obstacles,difficulty,box_speed
2026-04-11T16:56:09.349596+00:00,agent2,-9604.700000,12931.896814,10,1000,5,500,1,3,2
2026-04-11T19:40:41.737566+00:00,agent2,-3570.100000,7002.854039,10,1000,5,500,0,0,2
2026-04-12T07:39:31.635571+00:00,agent,-124361.000000,77769.718306,10,1000,5,500,1,3,2
2026-04-12T10:24:57.842112+00:00,agent,-122352.600000,46234.470011,10,1000,5,500,0,3,2
2026-04-12T10:31:44.443896+00:00,agent,-91727.800000,45644.891871,10,1000,5,500,1,3,2
2026-04-12T10:35:20.619954+00:00,agent,-96250.900000,43771.333225,10,1000,5,500,1,3,2
2026-04-12T10:38:17.398492+00:00,agent,-112103.400000,61900.717295,10,1000,5,500,1,3,2
2026-04-12T10:50:55.638669+00:00,agent3,-23599.100000,13574.044861,10,1000,5,500,1,3,2
2026-04-12T11:40:44.734218+00:00,agent3,-27811.200000,14501.693631,10,1000,5,500,1,3,2
2026-04-12T14:23:16.518432+00:00,agent3,-17612.600000,13232.058345,10,1000,5,500,1,3,2
2026-04-12T14:28:55.249410+00:00,agent3,-10756.300000,8515.094351,10,1000,5,500,1,3,2
2026-04-12T17:00:47.372178+00:00,agent3,-7685.200000,6708.686187,10,1000,5,500,1,3,2
2026-04-12T17:03:19.558895+00:00,agent,-103057.400000,56796.298272,10,1000,5,500,1,3,2
2026-04-12T17:28:19.939351+00:00,agent3,-19370.300000,7711.154065,10,1000,5,500,1,3,2
2026-04-12T18:10:58.992956+00:00,agent3,-15652.700000,12549.840031,10,1000,5,500,1,3,2
2026-04-12T18:14:50.830689+00:00,agent3,-26441.600000,22842.911645,10,1000,5,500,1,3,2
2026-04-12T18:17:01.537875+00:00,agent3,-17033.900000,16652.359031,10,1000,5,500,1,3,2
2026-04-12T18:18:58.539843+00:00,agent3,-7600.300000,7156.039268,10,1000,5,500,1,3,2
2026-04-12T18:21:35.646361+00:00,agent3,-15876.400000,9909.502341,10,1000,5,500,1,3,2
2026-04-12T18:24:59.408785+00:00,agent3,-33358.600000,26242.938499,10,1000,5,500,1,3,2
2026-04-15T10:43:40.158500+00:00,agent3,-16391.200000,11940.102996,10,1000,5,500,1,2,2
2026-04-15T10:45:58.236422+00:00,agent3,-7600.300000,7156.039268,10,1000,5,500,1,3,2
2026-04-15T10:48:54.075182+00:00,agent3,-5042.500000,7662.751402,10,1000,5,500,0,2,2
2026-04-15T10:50:47.446133+00:00,agent3,-4374.100000,6052.220344,10,1000,5,500,0,3,2
